date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:56	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/rensyu/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.min.js	(from https://rennai-ouen.com/)
20:54:56	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20May%202019%2011:54:56%20GMT	https://rennai-ouen.com/post/tyousa/	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/post/tyousa/index.html	(from https://rennai-ouen.com/)
20:54:56	181109/181109	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b959f7d-2c375%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	C:/My%20Web%20Sites/rensyu/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	(from https://rennai-ouen.com/)
20:54:56	315/315	---M--	200	added ('OK')	image/png	etag:%2213b-57e7bb045e0c0%22	https://rennai-ouen.com/uploads/fix-image/medaru.png	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/uploads/fix-image/medaru.png	(from https://rennai-ouen.com/css/style.css)
20:54:57	46453/46453	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:54:57%20GMT	https://rennai-ouen.com/app/pcmax	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/pcmax.html	(from https://rennai-ouen.com/app/pcmax/)
20:54:58	45395/45395	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:54:57%20GMT	https://rennai-ouen.com/app/happymail	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/happymail.html	(from https://rennai-ouen.com/app/happymail/)
20:54:58	42623/42623	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:54:58%20GMT	https://rennai-ouen.com/app/wakuwakumail	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/wakuwakumail.html	(from https://rennai-ouen.com/app/wakuwakumail/)
20:54:59	23620/23620	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:54:59%20GMT	https://rennai-ouen.com/app/yyc	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/yyc.html	(from https://rennai-ouen.com/app/yyc/)
20:54:59	26339/26339	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:54:59%20GMT	https://rennai-ouen.com/app/digicafe	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/digicafe.html	(from https://rennai-ouen.com/app/digicafe/)
20:55:01	626624/626624	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2015%20May%202019%2011:55:00%20GMT	https://rennai-ouen.com/app/sass.html	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/sass.html	(from https://rennai-ouen.com/app/jmail)
20:55:03	626794/626794	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2015%20May%202019%2011:55:02%20GMT	https://rennai-ouen.com/app/badges.html	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/badges.html	(from https://rennai-ouen.com/app/jmail)
20:55:04	627283/627283	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2015%20May%202019%2011:55:03%20GMT	https://rennai-ouen.com/app/collapsible.html	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/app/collapsible.html	(from https://rennai-ouen.com/app/jmail)
20:55:05	1831/1831	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20May%202019%2011:55:05%20GMT	https://rennai-ouen.com/official/jmail	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/official/jmail.html	(from https://rennai-ouen.com/app/jmail)
20:55:05	58556/58556	---M--	200	added ('OK')	image/png	etag:%22e4bc-57e7bb0275c40%22	https://rennai-ouen.com/uploads/post/%e6%96%b0%e4%ba%ba-279x300.png	C:/My%20Web%20Sites/rensyu/rennai-ouen.com/uploads/post/%e6%96%b0%e4%ba%ba-279x300.png	(from https://rennai-ouen.com/app/jmail)
